Name,Films,TV Shows,Short Films,Allies,Enemies,Park Attractions
Achilles,['Hercules (film)'],['Hercules (TV series)'],[],[],[],[]
Abigail the Cow,"['The Fox and the Hound', 'The Fox and the Hound 2']",[],[],[],[],[]
Abdullah,['Cheetah'],[],[],[],[],[]
Admiral Boom and Mr. Binnacle,"['Mary Poppins (film)', 'Mary Poppins Returns']",[],[],[],[],[]
.GIFfany,[],['Gravity Falls'],[],[],[],[]
90's Adventure Bear,[],['Pickle and Peanut'],[],[],[],[]
Candace Adams,[],['K.C. Undercover'],[],[],[],[]
Ahadi,"['The Lion King', 'The Lion King (2019 film)']",[],[],[],[],[]
Al Muddy Sultan,[],['Aladdin (TV series)'],[],[],[],[]
Irwina Allen,[],"[""Chip 'n Dale Rescue Rangers""]",[],[],[],[]
Ambrose,"['The Robber Kitten', ""Mickey's Polo Team""]",[],[],[],[],[]
Amos,['Ben and Me'],[],[],[],[],[]
Arabella,[],[],[],[],[],[]
Arabella Smith,[],[],[],[],[],['Tortuga Tavern']
Queen Ariel,[],['DuckTales'],[],[],[],[]
Arthur and Cecil,[],['Jungle Cubs'],[],[],[],[]
Fiona Ashbury,[],['Fillmore!'],[],[],[],[]
Ashcan and Pete,['Homeward Bound II: Lost in San Francisco'],[],[],[],[],[]
Aspen,['Bedtime Stories'],[],[],[],[],[]
Astuto,[],['The Lion Guard'],[],[],[],[]
Athena,['Tomorrowland (film)'],[],[],[],[],[]
Aunt Em,['Return to Oz'],['Once Upon a Time'],[],[],[],[]
Aviarius,[],['Kim Possible'],[],[],[],[]
Prince Axel,[],[],[],[],[],[]
Butter Otter,[],['PB&J Otter'],[],[],[],[]
Baby Panda,[],['Timon & Pumbaa'],[],[],[],[]
Marta Balatico,[],['Mackenzie Falls'],[],[],[],[]
Mr. Baldwin,[],['Fish Hooks'],[],[],[],[]
Baloo,"['The Jungle Book', 'The Jungle Book 2', ""Rudyard Kipling's The Jungle Book"", ""The Jungle Book: Mowgli's Story"", ""Mickey's Magical Christmas: Snowed in at the House of Mouse"", ""Mickey's House of Villains"", 'The Lion King 1½', 'Meet the Robinsons', 'The Jungle Book (2016 film)']","['The Mouse Factory', 'TaleSpin', 'Raw Toonage', 'Aladdin (TV series)', 'Jungle Cubs', 'House of Mouse', 'DuckTales (2017 series)']",[],[],[],"['The Disney Afternoon Live!: Plane Crazy', ""Mickey's Magical TV World"", 'Fantasmic!', ""It's a Small World"", 'Mickey Mouse Revue', 'Celebrate a Dreams Come True Parade', ""Mickey's Jammin' Jungle Parade"", ""Mickey's Jingle Jungle Parade"", 'Disney Stars and Motorcars Parade', 'Parade of the Stars', 'World of Color', 'Mickey and the Wondrous Book', ""La Forêt de l'Enchantement: Une aventure musicale Disney"", 'Happily Ever After (fireworks show)']"
Michael Banks,"['Mary Poppins (film)', 'Mary Poppins Returns']",[],[],[],[],[]
Banshee,[],"[""Chip 'n Dale Rescue Rangers""]",[],[],[],[]
Baron Blitz,[],['Teamo Supremo'],[],[],[],[]
Sir Bart,['The Sword in the Stone'],[],[],[],[],[]
Bernice Beachmont,[],['Fillmore!'],[],[],[],[]
Beardini the Pirate Magician,[],['Jake and the Never Land Pirates'],[],[],[],[]
Beheaded Knight,['The Haunted Mansion (film)'],[],[],[],[],['The Haunted Mansion']
Alan Coleman,['Freaky Friday (2003 film)'],[],[],[],[],[]
Alma,[],['Doc McStuffins'],[],[],[],[]
Captain Amelia,['Treasure Planet'],[],[],[],[],[]
Amelia Duckworth,[],[],[],[],[],[]
Captain Anderson,['The Cat from Outer Space'],[],[],[],[],[]
Erica Ange,[],[],[],[],[],[]
Angela,[],['Fish Hooks'],[],[],[],[]
Anthony Biddle,['The Happiest Millionaire'],[],[],[],[],[]
Apaches,['Savage Sam'],[],[],[],[],[]
Apothecary Gary,[],['Amphibia'],[],[],[],[]
Aqua,[],[],[],[],[],[]
Archibald Smelding,[],[],[],[],[],['Tower of Terror']
Mr. Arrow,['Treasure Planet'],[],[],[],[],[]
Queen Athena,"[""The Little Mermaid: Ariel's Beginning"", 'The Little Mermaid (live-action film)']",[],[],[],[],[]
Aunt Gertie,"[""Mickey's Once Upon a Christmas""]",[],[],[],[],[]
Avatar Singh,[],[],[],[],[],[]
Avemetrus,[],['American Dragon: Jake Long'],[],[],[],[]
B-Dawg,"['Air Buddies', 'Snow Buddies', 'Space Buddies', 'Santa Buddies', 'Spooky Buddies', 'Treasure Buddies', 'Super Buddies']",[],[],[],[],[]
Baker,"['Cinderella II: Dreams Come True', 'Cinderella III: A Twist in Time']",[],[],[],[],[]
Princess Baldegunde,[],['Phineas and Ferb'],[],[],[],[]
Barnaby,[],"[""Dumbo's Circus""]",[],[],[],[]
Jimmy Bartin,[],['Good Luck Charlie'],[],[],[],[]
Basuli,[],['The Legend of Tarzan'],[],[],[],[]
Nia Baxter-Carter,[],"[""Raven's Home""]",[],[],[],[]
Becky Gibson,"['Alexander and the Terrible, Horrible, No Good, Very Bad Day']",[],[],[],[],[]
Adonis,[],['Hercules (TV series)'],[],[],[],[]
Agent Gordon,[],['Lab Rats'],[],[],[],[]
Aggro,[],['Miles from Tomorrowland'],[],[],[],[]
Ajay,[],['The Proud Family'],[],[],[],[]
Ajed Al-Gebraic,[],['Aladdin (TV series)'],[],[],[],[]
Al,[],['Can You Teach My Alligator Manners?'],[],[],[],[]
Al Muddy,[],['Aladdin (TV series)'],[],[],[],[]
Alan-A-Dale,['Robin Hood (film)'],"['House of Mouse', 'The Wonderful World of Mickey Mouse']",[],[],[],['Garden of the Twelve Friends']
Alex Morrow,[],['The Mighty Ducks: Game Changers'],[],[],[],[]
Lorraine Almaden,[],['Fillmore!'],[],[],[],[]
Alonzo,"['101 Dalmatians (1996 film)', '102 Dalmatians']",[],[],[],[],[]
Amara,[],['Elena of Avalor'],[],[],[],[]
Anansi,[],['Gargoyles'],[],[],[],[]
Angelica,['Pirates of the Caribbean: On Stranger Tides'],[],[],[],[],"['World of Color', ""Mickey's Boo-to-You Halloween Parade""]"
Angler,"[""Pirates of the Caribbean: Dead Man's Chest"", ""Pirates of the Caribbean: At World's End""]",[],[],[],[],[]
Antonio Agama,[],['Elena of Avalor'],[],[],[],[]
Armstrong,[],"['DuckTales', 'DuckTales (2017 series)']",[],[],[],[]
Asteroth,[],['Mighty Ducks (TV series)'],[],[],[],[]
Audrey,['Home on the Range'],[],['A Dairy Tale: The Three Little Pigs'],[],[],[]
