,names,films,tv_shows,park_attractions
0,Achilles,'Hercules (film)','Hercules (TV series)',
1,Abigail the Cow,'The Fox and the Hound',,
2,Abigail the Cow,'The Fox and the Hound 2',,
3,Abdullah,'Cheetah',,
4,Admiral Boom and Mr. Binnacle,'Mary Poppins (film)',,
5,Admiral Boom and Mr. Binnacle,'Mary Poppins Returns',,
6,.GIFfany,,'Gravity Falls',
7,90's Adventure Bear,,'Pickle and Peanut',
8,Candace Adams,,'K.C. Undercover',
9,Ahadi,'The Lion King',,
10,Ahadi,'The Lion King (2019 film)',,
11,Al Muddy Sultan,,'Aladdin (TV series)',
12,Irwina Allen,,"""Chip 'n Dale Rescue Rangers""",
13,Ambrose,'The Robber Kitten',,
14,Ambrose,"""Mickey's Polo Team""",,
15,Amos,'Ben and Me',,
16,Arabella,,,
17,Arabella Smith,,,'Tortuga Tavern'
18,Queen Ariel,,'DuckTales',
19,Arthur and Cecil,,'Jungle Cubs',
20,Fiona Ashbury,,'Fillmore!',
21,Ashcan and Pete,'Homeward Bound II: Lost in San Francisco',,
22,Aspen,'Bedtime Stories',,
23,Astuto,,'The Lion Guard',
24,Athena,'Tomorrowland (film)',,
25,Aunt Em,'Return to Oz','Once Upon a Time',
26,Aviarius,,'Kim Possible',
27,Prince Axel,,,
28,Butter Otter,,'PB&J Otter',
29,Baby Panda,,'Timon & Pumbaa',
30,Marta Balatico,,'Mackenzie Falls',
31,Mr. Baldwin,,'Fish Hooks',
32,Baloo,'The Jungle Book','The Mouse Factory','The Disney Afternoon Live!: Plane Crazy'
33,Baloo,'The Jungle Book 2','TaleSpin',"""Mickey's Magical TV World"""
34,Baloo,"""Rudyard Kipling's The Jungle Book""",'Raw Toonage','Fantasmic!'
35,Baloo,"""The Jungle Book: Mowgli's Story""",'Aladdin (TV series)',"""It's a Small World"""
36,Baloo,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",'Jungle Cubs','Mickey Mouse Revue'
37,Baloo,"""Mickey's House of Villains""",'House of Mouse','Celebrate a Dreams Come True Parade'
38,Baloo,'The Lion King 1½','DuckTales (2017 series)',"""Mickey's Jammin' Jungle Parade"""
39,Baloo,'Meet the Robinsons',,"""Mickey's Jingle Jungle Parade"""
40,Baloo,'The Jungle Book (2016 film)',,'Disney Stars and Motorcars Parade'
41,Baloo,,,'Parade of the Stars'
42,Baloo,,,'World of Color'
43,Baloo,,,'Mickey and the Wondrous Book'
44,Baloo,,,"""La Forêt de l'Enchantement: Une aventure musicale Disney"""
45,Baloo,,,'Happily Ever After (fireworks show)'
46,Michael Banks,'Mary Poppins (film)',,
47,Michael Banks,'Mary Poppins Returns',,
48,Banshee,,"""Chip 'n Dale Rescue Rangers""",
49,Baron Blitz,,'Teamo Supremo',
50,Sir Bart,'The Sword in the Stone',,
51,Bernice Beachmont,,'Fillmore!',
52,Beardini the Pirate Magician,,'Jake and the Never Land Pirates',
53,Beheaded Knight,'The Haunted Mansion (film)',,'The Haunted Mansion'
54,Alan Coleman,'Freaky Friday (2003 film)',,
55,Alma,,'Doc McStuffins',
56,Captain Amelia,'Treasure Planet',,
57,Amelia Duckworth,,,
58,Captain Anderson,'The Cat from Outer Space',,
59,Erica Ange,,,
60,Angela,,'Fish Hooks',
61,Anthony Biddle,'The Happiest Millionaire',,
62,Apaches,'Savage Sam',,
63,Apothecary Gary,,'Amphibia',
64,Aqua,,,
65,Archibald Smelding,,,'Tower of Terror'
66,Mr. Arrow,'Treasure Planet',,
67,Queen Athena,"""The Little Mermaid: Ariel's Beginning""",,
68,Queen Athena,'The Little Mermaid (live-action film)',,
69,Aunt Gertie,"""Mickey's Once Upon a Christmas""",,
70,Avatar Singh,,,
71,Avemetrus,,'American Dragon: Jake Long',
72,B-Dawg,'Air Buddies',,
73,B-Dawg,'Snow Buddies',,
74,B-Dawg,'Space Buddies',,
75,B-Dawg,'Santa Buddies',,
76,B-Dawg,'Spooky Buddies',,
77,B-Dawg,'Treasure Buddies',,
78,B-Dawg,'Super Buddies',,
79,Baker,'Cinderella II: Dreams Come True',,
80,Baker,'Cinderella III: A Twist in Time',,
81,Princess Baldegunde,,'Phineas and Ferb',
82,Barnaby,,"""Dumbo's Circus""",
83,Jimmy Bartin,,'Good Luck Charlie',
84,Basuli,,'The Legend of Tarzan',
85,Nia Baxter-Carter,,"""Raven's Home""",
86,Becky Gibson,'Alexander and the Terrible,,
87,Becky Gibson,Horrible,,
88,Becky Gibson,No Good,,
89,Becky Gibson,Very Bad Day',,
90,Adonis,,'Hercules (TV series)',
91,Agent Gordon,,'Lab Rats',
92,Aggro,,'Miles from Tomorrowland',
93,Ajay,,'The Proud Family',
94,Ajed Al-Gebraic,,'Aladdin (TV series)',
95,Al,,'Can You Teach My Alligator Manners?',
96,Al Muddy,,'Aladdin (TV series)',
97,Alan-A-Dale,'Robin Hood (film)','House of Mouse','Garden of the Twelve Friends'
98,Alan-A-Dale,,'The Wonderful World of Mickey Mouse',
99,Alex Morrow,,'The Mighty Ducks: Game Changers',
100,Lorraine Almaden,,'Fillmore!',
101,Alonzo,'101 Dalmatians (1996 film)',,
102,Alonzo,'102 Dalmatians',,
103,Amara,,'Elena of Avalor',
104,Anansi,,'Gargoyles',
105,Angelica,'Pirates of the Caribbean: On Stranger Tides',,'World of Color'
106,Angelica,,,"""Mickey's Boo-to-You Halloween Parade"""
107,Angler,"""Pirates of the Caribbean: Dead Man's Chest""",,
108,Angler,"""Pirates of the Caribbean: At World's End""",,
109,Antonio Agama,,'Elena of Avalor',
110,Armstrong,,'DuckTales',
111,Armstrong,,'DuckTales (2017 series)',
112,Asteroth,,'Mighty Ducks (TV series)',
113,Audrey,'Home on the Range',,
114,Avión,,'Elena of Avalor',
115,Dr. Axoloti,,'TaleSpin',
116,Azurine,,'Sofia the First',
117,Babyfier,'Leroy & Stitch','Lilo & Stitch: The Series',"""Stitch's Great Escape!"""
118,Babyfier,,'Stitch!',
119,Big Bad,,'Goldie & Bear',
120,Balthazar Cavendish,,"""Milo Murphy's Law""",
121,Steve Barkin,'Kim Possible (film)','Kim Possible',
122,Barnaby,'Babes in Toyland',,
123,Bastion,'Tangled',,
124,Booker Carter,,"""Raven's Home""",
125,Baylene,'Dinosaur',,
126,Ma Beagle,,'DuckTales',
127,Ma Beagle,,'DuckTales (2017 series)',
128,Zeke Beakerman,,'Wizards of Waverly Place',
129,Captain Candace Beakman,,'T.O.T.S.',
130,Jonah Beck,,'Andi Mack',
131,Becky Thatcher,'Tom and Huck',,'Tom Sawyer Island'
132,Belle,'Leroy & Stitch','Lilo & Stitch: The Series',
133,Aerosol,,'Pair of Kings',
134,Agatha,,'Jessie (TV series)',
135,Agent,'Bolt (film)',,
136,Albert Awol,,,'Jungle Cruise'
137,Albert Awol,,,'Skipper Canteen'
138,Alex,'The Little Mermaid II: Return to the Sea',,
139,Alexander and Terry,,'Big City Greens',
140,Ali,'Beverly Hills Chihuahua 2',,
141,Ali,'Beverly Hills Chihuahua 3: Viva la Fiesta',,
142,Allie Henderson,"""I'll Be Home for Christmas""",,
143,"Queen Amena, Sparkly Queen of the World",,'Doc McStuffins',
144,Roxanne Andrews,'Let It Shine',,
145,Andromeda,,'Hercules: The Animated Series',
146,Angel Donald,'Flubber',,
147,Anne Boonchuy,,'Amphibia',
148,Appoline,'Beverly Hills Chihuahua 2',,
149,Artemis,'Hercules','Hercules (TV series)',
150,The Ashleys,"""Recess: School's Out""",'Recess',
151,The Ashleys,'Recess: Taking the Fifth Grade',,
152,The Ashleys,'Recess: All Growed Down',,
153,Baker,'Into the Woods',,
154,Balsam,,,
155,Barko,,,
156,The Baron,,'Tangled: The Series',
157,Bear,'A Goofy Movie',,
158,"Herbert P. Bear, Esquire",,,
159,Bella the Ballerina,,'Doc McStuffins',
160,Bella the Ballerina,,'The Doc Files',
161,A.J. Arno,'The Computer Wore Tennis Shoes',,
162,A.J. Arno,"""Now You See Him",,
163,A.J. Arno,"Now You Don't""",,
164,A.J. Arno,'The Strongest Man in the World',,
165,A.R.F.,,'Puppy Dog Pals',
166,Adelbert,"""Mickey's Good Deed""",,
167,Ajax the Gorilla,"""Mickey's House of Villains""",'Mickey Mouse Works',
168,Aladdin,'Aladdin (film)','Aladdin (TV series)',"""Mickey's PhilharMagic"""
169,Aladdin,'The Return of Jafar','Hercules (TV series)',"""Mickey's Soundsational Parade"""
170,Aladdin,'Aladdin and the King of Thieves','House of Mouse',"""It's a Small World"""
171,Aladdin,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",'A Poem Is...','World of Color'
172,Aladdin,"""Mickey's House of Villains""",'Once Upon a Time','Fantasmic!'
173,Aladdin,'The Lion King 1½',,"""Mickey's Boo-to-You Halloween Parade"""
174,Aladdin,'Once Upon a Halloween',,"""Mickey's Once Upon a Christmastime Parade"""
175,Aladdin,'Descendants 2',,"""Aladdin's Royal Caravan"""
176,Aladdin,'Aladdin (2019 film)',,'A Christmas Fantasy Parade'
177,Aladdin,'Aladdin 2 (live-action film)',,'Mickey and the Wondrous Book'
178,Aladdin,,,'Golden Fairytale Fanfare'
179,Aladdin,,,'Voyage to the Crystal Grotto'
180,Aladdin,,,'Happily Ever After (fireworks show)'
181,Aladdin,,,'Wishes'
182,Aladdin,,,'Remember... Dreams Come True'
183,Aletta,,,"""Soarin'"""
184,Alice,'Alice Comedies',,
185,Alligators,'Fantasia','House of Mouse',
186,Alligators,"""Mickey's Twice Upon a Christmas""",,
187,Allison,'Hocus Pocus',,
188,Amicus Arcane,,,
189,Amphitrite,,'Hercules (TV series)',
190,Andre's Cats,,'Quack Pack',
191,Andrew Jacoby,'The Princess Diaries 2: Royal Engagement',,
192,Anga,,'The Lion Guard',
193,Annie,'Our Huge Adventure','Little Einsteins','Disney Junior - Live on Stage!'
194,Annie,"""Rocket's Firebird Rescue""",,"""Disney's Hollywood Studios"""
195,Archimedes,,'The Little Mermaid (TV series)',
196,Ashley A.,"""Recess: School's Out""",'Recess',
197,Ashley A.,'Recess: Taking the Fifth Grade',,
198,Ashley A.,'Recess: All Growed Down',,
199,Artemis Fowl II,'Artemis Fowl',,
200,Arthur,'Ralph Breaks the Internet',,
201,Nigel Ashcroft,,'W.I.T.C.H. (TV series)',
202,Vivian Ashe,'Beverly Hills Chihuahua',,
203,Vivian Ashe,'Beverly Hills Chihuahua 2',,
204,Athos,'The Three Musketeers',,
205,Atka,'Brother Bear 2',,
206,The Auctioneer,'The Small One',,
207,Baileywick,'Sofia the First: Once Upon a Princess','Sofia the First',
208,Bandar-log,'The Jungle Book','TaleSpin',
209,Bandar-log,'The Jungle Book 2','Jungle Cubs',
210,Bandar-log,"""Rudyard Kipling's The Jungle Book""",'House of Mouse',
211,Bandar-log,'The Jungle Book (2016 film)','Mickey Mouse (TV series)',
212,Banshee,,'Gargoyles',
213,Franklin Barkin,,'Kim Possible',
214,Teddi Barra,,,'Country Bear Jamboree'
215,Teddi Barra,,,'Country Bear Vacation Hoedown'
216,Teddi Barra,,,'Country Bear Christmas Special'
217,Beary Barrington,'The Country Bears',,
218,Basil,,'Johnny and the Sprites',
219,Belinda Casey,'White Fang',,
220,Dr. Ben Kendall,'G-Force',,
221,Aliens,'Chicken Little (film)',,
222,Andrew,,'Tangled: The Series',
223,André,'Planes: Fire & Rescue',,
224,Angela,,'Jessie (TV series)',
225,Apollo,,'The Little Mermaid (TV series)',
226,Bonnie Appetite,,,'Kitchen Kabaret'
227,Wheely Applegate,'Herbie Goes to Monte Carlo',,
228,Armadylan,,'PJ Masks',
229,King Arthur,,'Legend of the Three Caballeros',
230,Astoroth,'Bedknobs and Broomsticks',,
231,Aunt Spiker,'James and the Giant Peach',,
232,Aunt Stacy,,'Lilo & Stitch: The Series',
233,Aunt Tilly,,'Sofia the First',
234,Captain Aurora Mayflower,,,
235,Axel,,'Tangled: The Series',
236,B.E.V.,'Ralph Breaks the Internet',,'Ralph Breaks VR'
237,Baboons,'Tarzan','The Legend of Tarzan',
238,Baboons,'Tarzan II',,
239,Backhoe,'Leroy & Stitch','Lilo & Stitch: The Series',
240,Baljeet Tjinder,'Phineas and Ferb the Movie: Across the 2nd Dimension','Phineas and Ferb',
241,Baltus Van Tassel,'The Adventures of Ichabod and Mr. Toad',,
242,The Bandersnatch,'Alice in Wonderland (2010 film)','Once Upon a Time in Wonderland',
243,The Bandersnatch,'Alice Through the Looking Glass',,
244,George Banks,'Mary Poppins (film)',,
245,George Banks,'Saving Mr. Banks',,
246,George Banks,'Mary Poppins Returns',,
247,Mr. Bannister,,'Randy Cunningham: 9th Grade Ninja',
248,Hector Barbossa,'Pirates of the Caribbean: The Curse of the Black Pearl',,'Pirates of the Caribbean (ride)'
249,Hector Barbossa,"""Pirates of the Caribbean: Dead Man's Chest""",,"""Mickey's Boo-to-You Halloween Parade"""
250,Hector Barbossa,"""Pirates of the Caribbean: At World's End""",,"""A Pirate's Adventure: Treasures of the Seven Seas"""
251,Hector Barbossa,'Pirates of the Caribbean: On Stranger Tides',,"'Pirates Summer Battle ""Get Wet!""'"
252,Hector Barbossa,'Pirates of the Caribbean: Dead Men Tell No Tales',,'Fantasmic!'
253,Baron Von Rocha,,'Sofia the First',
254,Beach Ball Grandpappy,,'Penn Zero: Part-Time Hero',
255,Bebe,,'Kim Possible','Kim Possible World Showcase Adventure'
256,Ted Bedderhead,'The Country Bears',,
257,Beevilweevils,,'Adventures of the Gummi Bears',
258,Belle's Suitors,'Beauty and the Beast (1991 film)',,
259,Abraxas,,,
260,Achilles,'The Hunchback of Notre Dame',,
261,Achilles,'The Hunchback of Notre Dame II',,
262,Abigail Markham,,'The Legend of Tarzan',
263,Abuelita,,'Gravity Falls',
264,AC and DC,,'Big Hero 6: The Series',
265,Professor Acari,,'Kim Possible',
266,King Agnarr,'Frozen','Once Upon a Time','Frozen: Live at the Hyperion'
267,King Agnarr,'Ralph Breaks the Internet',,
268,King Agnarr,'Frozen II',,
269,Air Bud,'Air Bud',,
270,Air Bud,'Air Bud: Golden Receiver',,
271,Air Bud,'Air Bud: World Pup',,
272,Air Bud,'Air Bud: Seventh Inning Fetch',,
273,Air Bud,'Air Bud: Spikes Back',,
274,Air Bud,'Air Buddies',,
275,Air Bud,'Snow Buddies',,
276,Air Bud,'Space Buddies',,
277,Air Bud,'Santa Buddies',,
278,Air Bud,'Ralph Breaks the Internet',,
279,Uncle Albert,'Mary Poppins (film)',,
280,Allie,,"""Where's My Water?: Swampy's Underground Adventures""",
281,Alucard Van Heusen,,'Wizards of Waverly Place',
282,Amity Blight,,'The Owl House',
283,Amnesio,'Leroy & Stitch','Lilo & Stitch: The Series',"""Stitch's Great Escape!"""
284,Amnesio,,'Stitch!',
285,Andrea Framm,'Air Bud',,
286,Andrea Framm,'Air Bud: Golden Receiver',,
287,Andrea Framm,'Air Bud: World Pup',,
288,Andrea Framm,'Air Bud: Seventh Inning Fetch',,
289,Andrea Framm,'Air Bud: Spikes Back',,
290,Andrea Framm,'Air Buddies',,
291,Angel,'Leroy & Stitch','Lilo & Stitch: The Series','Fantasmic!'
292,Angel,,'Stitch!',"""Stitch's Great Escape!"""
293,Angel,,,"""Halloween Pop'n LIVE"""
294,Angus,'Mary Poppins Returns',,
295,Anon,,,
296,Antoinette,,'Quack Pack',
297,Apollo,'Hercules (film)','Hercules (TV series)',
298,Queen Arianna,'Tangled','Once Upon a Time','Celebrate the Magic'
299,Queen Arianna,'Tangled: Before Ever After','Tangled: The Series','Jingle Bell
300,Queen Arianna,,,Jingle BAM!'
301,Athena,'Kim Possible (film)','Kim Hushable',
302,B.R.A.W.N.,,'Mighty Ducks (TV series)',
303,Baby Thaddeus,,"""Chip 'n Dale Rescue Rangers""",
304,Bad-7,,,
305,Bahuka,,'Timon & Pumbaa',
306,Bambi,'Bambi (film)','House of Mouse',"""It's a Small World"""
307,Bambi,'Bambi II','A Poem Is...','Fantasmic!'
308,Bambi,'Perri','Mickey Mouse (TV series)','World of Color'
309,Bambi,'The Rescuers',,'Celebrate the Magic'
310,Bambi,'Who Framed Roger Rabbit',,'Main Street Electrical Parade'
311,Bambi,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",,'Jingle Bell
312,Bambi,'A Goofy Movie',,Jingle BAM!'
313,Bambi,'The Reluctant Dragon',,
314,Bambi,'Zootopia',,
315,Bambi,'Ralph Breaks the Internet',,
316,Bambi,'Bambi (live-action film)',,
317,Bandito Gang,,,'Western River Expedition'
318,Bandito Gang,,,'World of Motion'
319,The Barker Bird,,,'Pirates of the Caribbean'
320,Basi,,'The Lion Guard',
